,Company,Location,Industry,Laid_Off_Count,Date,Stage,Country,Percentage
0,GoTo Group,79,27,600.0,2023-03-10,Post-IPO,23,0.18
1,Xero,185,7,800.0,2023-03-09,Post-IPO,35,0.15
2,Shopee,79,9,200.0,2023-03-09,Unknown,23,0.18
3,Gopuff,135,9,100.0,2023-03-09,Series H,56,0.02
4,Wave Financial,175,7,50.0,2023-03-09,Acquired,7,0.18
5,Morning Brew,125,18,40.0,2023-03-09,Acquired,56,0.18
6,Bonusly,25,10,80.0,2023-03-09,Series B,56,0.18
7,Neoleukin Therapeutics,158,12,80.0,2023-03-09,Post-IPO,56,0.7
8,Toucan,98,5,80.0,2023-03-09,Series A,56,1.0
9,Wattpad,175,29,42.0,2023-03-08,Acquired,7,0.15
10,Appcues,24,4,80.0,2023-03-08,Series B,56,0.15
11,Pristyn Care,66,12,300.0,2023-03-07,Series E,22,0.15
12,Zwift,98,8,80.0,2023-03-07,Series C,56,0.15
13,Catch,125,7,80.0,2023-03-07,Series A,56,1.0
14,Take-Two Interactive,125,2,80.0,2023-03-07,Post-IPO,56,0.18
15,Zulily,158,23,80.0,2023-03-07,Acquired,56,0.18
16,Atlassian,169,19,500.0,2023-03-06,Post-IPO,1,0.05
17,SiriusXM,125,18,475.0,2023-03-06,Post-IPO,56,0.08
18,Alerzo,75,23,400.0,2023-03-06,Series B,36,0.18
19,UKG,108,10,265.0,2023-03-06,Unknown,56,0.18
20,UpGrad,116,5,120.0,2023-03-06,Unknown,22,0.18
21,Ankorstore,133,23,80.0,2023-03-06,Series C,16,0.18
22,Loft,156,21,340.0,2023-03-03,Unknown,5,0.15
23,Embark Trucks,147,27,230.0,2023-03-03,Post-IPO,56,0.7
24,Lendi,169,21,100.0,2023-03-03,Unknown,1,0.18
25,UserTesting,147,17,63.0,2023-03-03,Acquired,56,0.18
26,Airbnb,147,28,30.0,2023-03-03,Post-IPO,56,0.18
27,Accolade,158,12,80.0,2023-03-03,Post-IPO,56,0.18
28,Indigo,24,19,80.0,2023-03-03,Series F,56,0.18
29,Zscaler,147,25,177.0,2023-03-02,Post-IPO,56,0.03
30,MasterClass,147,5,79.0,2023-03-02,Series E,56,0.18
31,Ambev Tech,21,9,50.0,2023-03-02,Acquired,5,0.18
32,Fittr,142,8,30.0,2023-03-02,Series A,22,0.11
33,CNET,147,18,12.0,2023-03-02,Acquired,56,0.1
34,Comparis,190,7,80.0,2023-03-02,Unknown,51,0.1
35,Flipkart,17,23,80.0,2023-03-02,Acquired,22,0.18
36,Kandela,98,2,80.0,2023-03-02,Acquired,56,1.0
37,Truckstop.com,23,15,80.0,2023-03-02,Acquired,56,0.18
38,Thoughtworks,39,19,500.0,2023-03-01,Post-IPO,56,0.04
39,iFood,156,9,355.0,2023-03-01,Subsidiary,5,0.06
40,Color Health,147,12,300.0,2023-03-01,Series E,56,0.18
41,Waymo,147,27,209.0,2023-03-01,Subsidiary,56,0.08
42,PayFit,133,10,200.0,2023-03-01,Series E,16,0.2
43,Yellow.ai,147,26,200.0,2023-03-01,Series C,56,0.18
